id,x,y
0,236,186
1,122,285
2,24,346
3,271,304
4,176,9
5,130,329
6,204,213
7,252,332
8,82,65
9,276,26
10,280,272
11,211,199
12,84,236
13,133,62
14,239,172
15,322,53
16,3,170
17,175,46
18,170,176
19,170,56
20,254,194
21,231,117
22,127,135
23,285,103
24,188,133
25,23,116
26,73,299
27,288,315
28,119,323
29,48,57
30,200,98
31,313,63
32,199,304
33,53,346
34,344,239
35,56,67
36,118,325
37,188,119
38,26,277
39,134,56
40,270,76
41,135,36
42,223,170
43,170,274
44,88,21
45,339,119
46,108,197
47,169,271
48,62,236
49,275,273
50,88,186
51,213,186
52,83,23
53,28,312
54,242,57
55,214,20
56,307,71
57,20,333
58,207,322
59,339,168
60,308,277
61,186,341
62,322,122
63,128,9
64,334,252
65,238,265
66,67,141
67,78,273
68,345,122
69,315,345
70,317,158
71,98,21
72,339,38
73,24,302
74,27,54
75,197,139
76,109,118
77,252,291
78,170,142
79,82,271
80,203,332
81,105,9
82,232,285
83,64,217
84,239,62
85,248,332
86,73,126
87,224,261
88,283,3
89,144,226
90,119,48
91,290,25
92,172,342
93,119,170
94,285,146
95,300,94
96,236,142
97,346,1
98,184,159
99,159,139
100,53,299
101,149,20
102,83,25
103,332,13
104,25,94
105,342,59
106,238,239
107,17,326
108,80,187
109,325,109
110,224,84
111,161,142
112,122,323
113,161,308
114,142,66
115,308,31
116,136,7
117,271,252
118,255,49
119,48,320
120,3,85
121,246,7
122,109,56
123,109,119
124,239,238
125,272,186
126,200,123
127,285,246
128,271,188
129,31,277
130,326,17
131,284,108
132,140,137
133,56,26
134,343,115
135,25,323
136,345,159
137,297,26
138,343,149
139,320,48
140,200,109
141,185,271
142,7,136
143,326,149
144,104,56
145,339,136
146,308,142
147,324,329
148,9,252
149,1,315
150,21,274
151,119,171
152,345,67
153,280,1
154,313,265
155,277,271
156,56,88
157,9,203
158,85,176
159,111,343
160,14,20
161,310,32
162,304,30
163,199,222
164,92,346
165,72,40
166,284,184
167,125,136
168,134,118
169,9,322
170,302,266
171,332,104
172,40,199
173,212,67
174,200,277
175,82,169
176,270,203
177,308,172
178,261,63
179,146,313
180,188,285
181,57,92
182,168,304
183,199,265
184,332,98
185,169,136
186,213,57
187,248,277
188,98,271
189,56,141
190,310,17
191,199,118
192,239,141
193,21,212
194,176,128
195,175,278
196,203,25
197,265,40
198,26,252
199,339,340
200,172,232
201,31,237
202,311,265
203,309,135
204,330,80
205,230,70
206,272,159
207,21,134
208,24,53
209,40,332
210,261,16
211,239,223
212,304,249
213,277,39
214,224,141
215,142,345
216,72,141
217,313,21
218,261,271
219,276,25
220,109,200
221,288,25
222,329,291
223,194,242
224,223,203
225,290,170
226,261,325
227,36,251
228,291,10
229,342,67
230,21,55
231,108,284
232,3,228
233,168,31
234,67,69
235,323,142
236,261,113
237,55,200
238,13,277
239,322,25
240,258,257
241,285,136
242,80,320
243,265,98
244,252,248
245,62,200
246,313,54
247,196,249
248,323,85
249,82,231
250,141,224
251,342,119
252,304,325
253,136,156
254,325,104
255,211,325
256,304,158
257,254,302
258,92,242
259,30,303
260,274,188
261,28,310
262,271,30
263,286,81
264,144,326
265,265,56
266,249,57
267,341,186
268,174,293
269,33,42
270,312,28
271,199,212
272,9,323
273,168,347
274,67,142
275,1,53
276,115,2
277,333,2
278,332,38
279,291,280
280,119,54
281,271,232
282,135,281
283,258,9
284,285,200
285,330,94
286,263,175
287,212,304
288,238,342
289,284,159
290,111,279
291,141,172
292,66,21
293,313,203
294,84,51
295,139,320
296,25,186
297,252,338
298,200,188
299,59,342
300,162,149
301,304,322
302,185,169
303,252,236
304,25,290
305,56,185
306,158,40
307,238,222
308,56,128
309,199,261
310,271,203
311,63,313
312,62,161
313,302,57
314,19,175
315,98,172
316,28,144
317,249,213
318,239,252
319,332,25
320,265,203
321,303,104
322,339,161
323,119,39
324,239,211
325,313,172
326,200,122
327,104,303
328,75,9
329,137,312
330,272,203
331,218,78
332,261,268
333,314,65
334,57,213
335,21,56
336,7,213
337,139,281
338,5,122
339,55,21
340,80,24
341,178,38
342,186,109
343,304,21
344,192,49
345,203,21
346,285,271
347,122,248
348,104,322
349,312,243
350,302,254
351,236,169
352,304,324
353,266,249
354,3,280
355,243,312
356,211,98
357,195,181
358,8,245
359,297,185
360,113,104
361,10,142
362,129,7
363,56,297
364,248,323
365,273,328
366,115,19
367,36,309
368,129,168
369,242,194
370,343,2
371,21,169
372,226,343
373,40,200
374,172,331
375,326,343
376,134,26
377,332,329
378,3,200
379,331,109
380,150,128
381,101,299
382,203,59
383,231,315
384,265,199
385,99,296
386,322,290
387,296,102
388,118,261
389,238,56
390,117,231
391,312,149
392,304,308
393,105,277
394,204,196
395,315,303
396,284,21
397,239,21
398,312,326
399,277,161
400,340,213
401,98,223
402,172,277
403,128,104
404,313,222
405,98,331
406,299,194
407,122,141
408,324,217
409,291,25
410,13,188
411,104,318
412,261,65
413,265,128
414,163,173
415,116,14
416,92,1
417,26,3
418,165,121
419,3,25
420,149,226
421,328,306
422,172,141
423,303,315
424,56,239
425,122,274
426,46,177
427,249,180
428,73,1
429,272,346
430,53,48
431,199,119
432,248,38
433,24,187
434,196,67
435,304,172
436,87,136
437,323,141
438,323,62
439,189,217
440,280,236
441,115,137
442,25,276
443,186,55
444,30,56
445,60,285
446,197,127
447,334,26
448,304,170
449,259,8
450,346,184
451,186,199
452,200,39
453,185,344
454,184,329
455,149,162
456,285,213
457,185,290
458,13,261
459,204,5
460,109,26
461,169,40
462,194,196
463,85,156
464,67,55
465,98,285
466,123,342
467,118,283
468,45,67
469,80,48
470,162,343
471,272,21
472,271,133
473,67,297
474,13,118
475,115,28
476,230,23
477,58,269
478,46,175
479,25,169
480,80,57
481,135,197
482,203,161
483,113,261
484,116,23
485,275,218
486,285,170
487,314,199
488,279,111
489,126,48
490,36,320
491,137,167
492,140,326
493,130,48
494,302,94
495,315,80
496,101,80
497,23,227
498,92,194
499,2,20
500,72,252
501,323,96
502,91,8
503,143,177
504,200,30
505,257,26
506,331,324
507,142,322
508,188,104
509,239,276
510,23,61
511,325,21
512,204,94
513,346,194
514,223,186
515,56,252
516,113,142
517,26,21
518,285,323
519,290,176
520,93,167
521,276,122
522,96,133
523,41,243
524,188,304
525,203,313
526,200,170
527,232,200
528,235,5
529,6,89
530,171,107
531,257,169
532,224,232
533,271,79
534,187,24
535,141,67
536,113,66
537,56,103
538,59,271
539,40,213
540,158,26
541,211,82
542,285,208
543,119,285
544,26,9
545,40,133
546,143,175
547,56,132
548,45,221
549,212,344
550,285,315
